Linka;Začiatočná zastávka spoja;Smer;Dátum;Deň v týždni;Čas začiatku linky;Označenie linky;Vozidlo;Vodič;Poradie zastávky;Názov zastávky;Plánovaný príchod na zastávku;Skutočný príchod na zastávku;Status;Plánovaný odchod zo zastávky;Skutočný odchod zo zastávky;Počet nastupujúcich ľudí;Počet vystupujúcich ľudí;Obsadenosť po odchode zo zastávky
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;07:20;1/3;TT482JH;0d67775721cddd8539eee720faca1607;1;Senica, Autobusová stanica/1;07:20;07:17:54;10.0;07:20;07:21:13;6;0;6
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;07:20;1/3;TT482JH;0d67775721cddd8539eee720faca1607;2;Senica, TESCO/2;07:23;07:21:44;10.0;07:23;07:23:32;6;0;12
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;07:20;1/3;TT482JH;0d67775721cddd8539eee720faca1607;3;Senica, Poliklinika/2;07:24;07:23:46;10.0;07:24;07:25:58;8;1;19
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;07:20;1/3;TT482JH;0d67775721cddd8539eee720faca1607;4;Senica, Sotinská/1;07:25;07:26:17;10.0;07:25;07:27:22;3;0;22
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;07:20;1/3;TT482JH;0d67775721cddd8539eee720faca1607;5;Senica, Kunov, rázc./1;07:28;07:29:25;10.0;07:28;07:30:39;1;1;22
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;07:20;1/3;TT482JH;0d67775721cddd8539eee720faca1607;6;Senica, Kunov, Jednota/1;07:29;07:31:21;10.0;07:29;07:33:04;11;0;33
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;07:20;1/3;TT482JH;0d67775721cddd8539eee720faca1607;7;Senica, Kunov, IBV/1;07:30;07:33:27;10.0;07:30;07:34:14;2;0;35
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;07:20;1/3;TT482JH;0d67775721cddd8539eee720faca1607;8;Senica, Agrostav/2;07:32;07:35:34;10.0;07:32;07:36:27;2;0;37
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;07:20;1/3;TT482JH;0d67775721cddd8539eee720faca1607;9;Senica, II. ZŠ/2;07:34;07:37:31;10.0;07:34;07:38:41;0;17;20
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;07:20;1/3;TT482JH;0d67775721cddd8539eee720faca1607;10;Senica, Brezová/1;07:35;07:38:59;10.0;07:35;07:39:59;0;8;12
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;07:20;1/3;TT482JH;0d67775721cddd8539eee720faca1607;11;Senica, Vajanského, cintorín/1;07:36;07:40:01;10.0;07:36;07:41:13;0;10;2
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;07:20;1/3;TT482JH;0d67775721cddd8539eee720faca1607;12;Senica, Autobusová stanica/1;07:41;07:42:36;10.0;07:41;07:42:36;0;0;0
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;08:20;1/5;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;1;Senica, Autobusová stanica/1;08:20;08:11:38;10.0;08:20;08:21:19;1;0;1
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;08:20;1/5;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;2;Senica, TESCO/2;08:23;08:21:45;5.0;08:23;08:22:59;0;0;1
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;08:20;1/5;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;3;Senica, Poliklinika/2;08:24;08:23:10;10.0;08:24;08:24:39;0;1;0
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;08:20;1/5;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;4;Senica, Sotinská/1;08:25;08:25;10.0;08:25;08:25:48;1;0;1
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;08:20;1/5;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;5;Senica, Kunov, rázc./1;08:28;08:27:37;10.0;08:28;08:28:48;1;0;2
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;08:20;1/5;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;6;Senica, Kunov, Jednota/1;08:29;08:29:22;10.0;08:29;08:30:19;2;0;4
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;08:20;1/5;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;7;Senica, Kunov, IBV/1;08:30;08:30:41;10.0;08:30;08:30:59;0;0;4
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;08:20;1/5;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;8;Senica, Agrostav/2;08:32;08:32:25;10.0;08:32;08:32:42;0;0;4
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;08:20;1/5;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;9;Senica, II. ZŠ/2;08:34;08:33:57;10.0;08:34;08:34:38;0;0;4
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;08:20;1/5;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;10;Senica, Brezová/1;08:35;08:35:05;10.0;08:35;08:35:39;0;0;4
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;08:20;1/5;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;11;Senica, Vajanského, cintorín/1;08:36;08:35:41;10.0;08:36;08:37:01;0;2;2
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;08:20;1/5;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;12;Senica, Autobusová stanica/1;08:41;08:38:31;10.0;08:41;08:38:31;0;0;0
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;13:25;1/11;TT088JH;699f8c813ab8547b604fc1d38f7ce16f;1;Senica, Autobusová stanica/1;13:25;13:22:58;10.0;13:25;13:26:25;2;0;2
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;13:25;1/11;TT088JH;699f8c813ab8547b604fc1d38f7ce16f;2;Senica, TESCO/2;13:28;13:27;10.0;13:28;13:28:23;1;0;3
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;13:25;1/11;TT088JH;699f8c813ab8547b604fc1d38f7ce16f;3;Senica, Poliklinika/2;13:29;13:28:38;10.0;13:29;13:29:44;0;0;3
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;13:25;1/11;TT088JH;699f8c813ab8547b604fc1d38f7ce16f;4;Senica, Sotinská/1;13:30;13:30:04;10.0;13:30;13:30:23;0;0;3
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;13:25;1/11;TT088JH;699f8c813ab8547b604fc1d38f7ce16f;5;Senica, Kunov, rázc./1;13:33;13:32:15;10.0;13:33;13:33:53;1;3;1
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;13:25;1/11;TT088JH;699f8c813ab8547b604fc1d38f7ce16f;6;Senica, Kunov, Jednota/1;13:34;13:34:32;10.0;13:34;13:35:31;1;0;2
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;13:25;1/11;TT088JH;699f8c813ab8547b604fc1d38f7ce16f;7;Senica, Kunov, IBV/1;13:35;13:35:54;10.0;13:35;13:36:15;0;0;2
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;13:25;1/11;TT088JH;699f8c813ab8547b604fc1d38f7ce16f;8;Senica, Agrostav/2;13:37;13:37:42;10.0;13:37;13:38;0;0;2
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;13:25;1/11;TT088JH;699f8c813ab8547b604fc1d38f7ce16f;9;Senica, II. ZŠ/2;13:39;13:39:27;10.0;13:39;13:41:31;1;0;13
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;13:25;1/11;TT088JH;699f8c813ab8547b604fc1d38f7ce16f;10;Senica, Brezová/1;13:40;13:41:54;10.0;13:40;13:42:26;0;0;13
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;13:25;1/11;TT088JH;699f8c813ab8547b604fc1d38f7ce16f;11;Senica, Vajanského, cintorín/1;13:41;13:42:28;10.0;13:41;13:43:51;0;1;12
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;13:25;1/11;TT088JH;699f8c813ab8547b604fc1d38f7ce16f;12;Senica, Autobusová stanica/1;13:46;13:46:07;10.0;13:46;13:46:07;0;0;0
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;13:55;1/15;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;1;Senica, Autobusová stanica/1;13:55;13:49:57;10.0;13:55;13:56:55;16;0;16
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;13:55;1/15;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;2;Senica, TESCO/2;13:58;13:57:18;10.0;13:58;13:58:19;0;2;14
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;13:55;1/15;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;3;Senica, Poliklinika/2;13:59;13:58:33;10.0;13:59;13:59:28;1;2;13
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;13:55;1/15;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;4;Senica, Sotinská/1;14:00;13:59:48;10.0;14:00;14:00:47;1;0;14
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;13:55;1/15;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;5;Senica, Kunov, rázc./1;14:03;14:02:38;10.0;14:03;14:03:55;0;2;12
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;13:55;1/15;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;6;Senica, Kunov, Jednota/1;14:04;14:04:28;10.0;14:04;14:05:39;3;3;12
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;13:55;1/15;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;7;Senica, Kunov, IBV/1;14:05;14:06:01;10.0;14:05;14:06:46;0;3;9
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;13:55;1/15;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;8;Senica, Agrostav/2;14:07;14:08:10;10.0;14:07;14:08:30;0;0;9
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;13:55;1/15;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;9;Senica, II. ZŠ/2;14:09;14:09:47;10.0;14:09;14:10:51;0;1;8
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;13:55;1/15;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;10;Senica, Brezová/1;14:10;14:11:17;10.0;14:10;14:11:53;0;0;8
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;13:55;1/15;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;11;Senica, Vajanského, cintorín/1;14:11;14:11:55;10.0;14:11;14:12:56;0;0;8
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;13:55;1/15;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;12;Senica, Autobusová stanica/1;14:16;14:18:35;10.0;14:16;14:18:35;0;0;0
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;14:25;1/17;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;1;Senica, Autobusová stanica/1;14:25;14:20:20;10.0;14:25;14:26:54;4;0;4
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;14:25;1/17;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;2;Senica, TESCO/2;14:28;14:27:19;5.0;14:28;14:27:59;0;0;4
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;14:25;1/17;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;3;Senica, Poliklinika/2;14:29;14:28:13;10.0;14:29;14:29:03;1;0;5
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;14:25;1/17;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;4;Senica, Sotinská/1;14:30;14:29:23;5.0;14:30;14:29:41;0;0;5
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;14:25;1/17;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;5;Senica, Kunov, rázc./1;14:33;14:31:28;10.0;14:33;14:33:02;1;2;4
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;14:25;1/17;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;6;Senica, Kunov, Jednota/1;14:34;14:33:35;10.0;14:34;14:34:28;0;0;4
1;Senica, Autobusová stanica/1;Senica, Autobusová stanica/1;2025-04-01;utorok;14:25;1/17;TT788JG;6a8e345ca0e49d4bff771ac8105d9db9;7;Senica, Kunov, IBV/1;14:35;14:34:50;10.0;14:35;14:35:30;0;1;3
